date	Internal
2014-01-08-13-43-03	0
2014-01-08-13-43-04	0
2014-01-08-13-43-05	0
2014-01-08-13-43-06	0
2014-01-08-13-43-07	0
2014-01-08-13-43-08	0
2014-01-08-13-43-09	0
2014-01-08-13-43-11	0
2014-01-08-13-43-12	0
2014-01-08-13-43-13	0
2014-01-08-13-43-14	0
2014-01-08-13-43-15	0
2014-01-08-13-43-16	0
2014-01-08-13-43-17	0
2014-01-08-13-43-18	0
2014-01-08-13-43-20	0
2014-01-08-13-43-21	0
2014-01-08-13-43-22	0
2014-01-08-13-43-23	0
2014-01-08-13-43-24	0
2014-01-08-13-43-25	0
2014-01-08-13-43-26	0
2014-01-08-13-43-27	0
2014-01-08-13-43-28	0
2014-01-08-13-43-30	0
2014-01-08-13-43-31	0
2014-01-08-13-43-32	0
2014-01-08-13-43-33	0
2014-01-08-13-43-34	0
2014-01-08-13-43-35	0
2014-01-08-13-43-36	0
2014-01-08-13-43-37	0
2014-01-08-13-43-39	0
2014-01-08-13-43-40	0
2014-01-08-13-43-41	0
2014-01-08-13-43-42	0
2014-01-08-13-43-43	0
2014-01-08-13-43-44	0
2014-01-08-13-43-45	0
2014-01-08-13-43-46	0
2014-01-08-13-43-47	0
2014-01-08-13-43-49	0
2014-01-08-13-43-50	0
2014-01-08-13-43-51	0
2014-01-08-13-43-52	0
2014-01-08-13-43-53	0
2014-01-08-13-43-54	0
2014-01-08-13-43-55	0
2014-01-08-13-43-56	0
2014-01-08-13-43-58	0
2014-01-08-13-43-59	0
2014-01-08-13-44-00	0
2014-01-08-13-44-01	0
2014-01-08-13-44-02	0
2014-01-08-13-44-03	0
2014-01-08-13-44-04	0
2014-01-08-13-44-05	0
2014-01-08-13-44-06	0
2014-01-08-13-44-08	0
2014-01-08-13-44-09	0
2014-01-08-13-44-10	0
2014-01-08-13-44-11	0
2014-01-08-13-44-12	0
2014-01-08-13-44-13	0
2014-01-08-13-44-14	0
2014-01-08-13-44-15	0
2014-01-08-13-44-16	0
2014-01-08-13-44-18	0
2014-01-08-13-44-19	0
2014-01-08-13-44-20	0
2014-01-08-13-44-21	0
2014-01-08-13-44-22	0
2014-01-08-13-44-23	0
2014-01-08-13-44-24	0
2014-01-08-13-44-25	0
2014-01-08-13-44-26	0
2014-01-08-13-44-28	0
2014-01-08-13-44-29	0
2014-01-08-13-44-30	0
2014-01-08-13-44-31	0
2014-01-08-13-44-32	0
2014-01-08-13-44-33	0
2014-01-08-13-44-34	0
2014-01-08-13-44-35	0
2014-01-08-13-44-37	0
2014-01-08-13-44-38	0
2014-01-08-13-44-39	0
2014-01-08-13-44-40	0
2014-01-08-13-44-41	0
2014-01-08-13-44-42	0
2014-01-08-13-44-43	0
2014-01-08-13-44-44	0
2014-01-08-13-44-45	0
2014-01-08-13-44-47	0
2014-01-08-13-44-48	0
2014-01-08-13-44-49	0
2014-01-08-13-44-50	0
2014-01-08-13-44-51	0
2014-01-08-13-44-52	0
2014-01-08-13-44-53	0
2014-01-08-13-44-54	0
2014-01-08-13-44-55	0
2014-01-08-13-44-57	0
2014-01-08-13-44-58	0
2014-01-08-13-44-59	0
2014-01-08-13-45-00	0
2014-01-08-13-45-01	0
2014-01-08-13-45-02	0
2014-01-08-13-45-03	0
2014-01-08-13-45-04	0
2014-01-08-13-45-05	0
2014-01-08-13-45-07	0
2014-01-08-13-45-08	0
2014-01-08-13-45-09	0
2014-01-08-13-45-10	0
2014-01-08-13-45-11	0
2014-01-08-13-45-12	0
2014-01-08-13-45-13	0
2014-01-08-13-45-14	0
2014-01-08-13-45-15	0
2014-01-08-13-45-17	0
2014-01-08-13-45-18	0
2014-01-08-13-45-19	0
2014-01-08-13-45-20	0
2014-01-08-13-45-21	0
2014-01-08-13-45-22	0
2014-01-08-13-45-23	0
2014-01-08-13-45-24	0
2014-01-08-13-45-25	0
2014-01-08-13-45-27	0
2014-01-08-13-45-28	0
2014-01-08-13-45-29	0
2014-01-08-13-45-30	0
2014-01-08-13-45-31	0
2014-01-08-13-45-32	0
2014-01-08-13-45-33	0
2014-01-08-13-45-34	0
2014-01-08-13-45-36	0
2014-01-08-13-45-37	0
2014-01-08-13-45-38	0
2014-01-08-13-45-39	0
2014-01-08-13-45-40	0
2014-01-08-13-45-41	0
2014-01-08-13-45-42	0
2014-01-08-13-45-43	0
2014-01-08-13-45-44	0
2014-01-08-13-45-46	0
2014-01-08-13-45-47	0
2014-01-08-13-45-48	0
2014-01-08-13-45-49	0
2014-01-08-13-45-50	0
2014-01-08-13-45-51	0
2014-01-08-13-45-52	0
2014-01-08-13-45-53	0
2014-01-08-13-45-54	0
2014-01-08-13-45-56	0
2014-01-08-13-45-57	0
2014-01-08-13-45-58	0
2014-01-08-13-45-59	0
2014-01-08-13-46-00	0
2014-01-08-13-46-01	0
2014-01-08-13-46-02	0
2014-01-08-13-46-03	0
2014-01-08-13-46-04	0
2014-01-08-13-46-06	0
2014-01-08-13-46-07	0
2014-01-08-13-46-08	0
2014-01-08-13-46-09	0
2014-01-08-13-46-10	0
2014-01-08-13-46-11	0
2014-01-08-13-46-12	0
2014-01-08-13-46-13	0
2014-01-08-13-46-15	0
2014-01-08-13-46-16	0
2014-01-08-13-46-17	0
2014-01-08-13-46-18	0
2014-01-08-13-46-19	0
2014-01-08-13-46-20	0
2014-01-08-13-46-21	0
2014-01-08-13-46-22	0
2014-01-08-13-46-23	0
