date	frequency	type
2014-01-08-15-26-57	0	Major Frequency
2014-01-08-15-26-59	0	Major Frequency
2014-01-08-15-27-01	43.06640625	Major Frequency
2014-01-08-15-27-03	0	Major Frequency
2014-01-08-15-27-06	0	Major Frequency
2014-01-08-15-27-08	0	Major Frequency
2014-01-08-15-27-10	0	Major Frequency
2014-01-08-15-27-12	0	Major Frequency
2014-01-08-15-27-14	0	Major Frequency
2014-01-08-15-27-16	0	Major Frequency
2014-01-08-15-27-18	43.06640625	Major Frequency
2014-01-08-15-27-20	0	Major Frequency
2014-01-08-15-27-22	0	Major Frequency
2014-01-08-15-27-24	0	Major Frequency
2014-01-08-15-27-27	0	Major Frequency
2014-01-08-15-27-29	0	Major Frequency
2014-01-08-15-27-31	0	Major Frequency
2014-01-08-15-27-33	0	Major Frequency
2014-01-08-15-27-35	0	Major Frequency
2014-01-08-15-27-37	0	Major Frequency
2014-01-08-15-27-39	86.1328125	Major Frequency
2014-01-08-15-27-41	0	Major Frequency
2014-01-08-15-27-43	0	Major Frequency
2014-01-08-15-27-45	0	Major Frequency
2014-01-08-15-27-48	0	Major Frequency
2014-01-08-15-27-50	43.06640625	Major Frequency
2014-01-08-15-27-52	0	Major Frequency
2014-01-08-15-27-54	0	Major Frequency
2014-01-08-15-27-56	0	Major Frequency
2014-01-08-15-27-58	0	Major Frequency
2014-01-08-15-28-00	0	Major Frequency
2014-01-08-15-28-02	0	Major Frequency
2014-01-08-15-28-04	0	Major Frequency
2014-01-08-15-28-07	215.33203125	Major Frequency
2014-01-08-15-28-09	129.19921875	Major Frequency
2014-01-08-15-28-11	0	Major Frequency
2014-01-08-15-28-13	0	Major Frequency
2014-01-08-15-28-15	0	Major Frequency
2014-01-08-15-28-17	0	Major Frequency
2014-01-08-15-28-19	0	Major Frequency
2014-01-08-15-28-21	0	Major Frequency
2014-01-08-15-28-23	0	Major Frequency
2014-01-08-15-28-25	0	Major Frequency
2014-01-08-15-28-28	43.06640625	Major Frequency
2014-01-08-15-28-30	43.06640625	Major Frequency
2014-01-08-15-28-32	0	Major Frequency
2014-01-08-15-28-34	0	Major Frequency
2014-01-08-15-28-36	0	Major Frequency
2014-01-08-15-28-38	86.1328125	Major Frequency
2014-01-08-15-28-40	0	Major Frequency
2014-01-08-15-28-42	0	Major Frequency
2014-01-08-15-28-44	0	Major Frequency
2014-01-08-15-28-47	86.1328125	Major Frequency
2014-01-08-15-28-49	0	Major Frequency
2014-01-08-15-28-51	0	Major Frequency
2014-01-08-15-28-53	43.06640625	Major Frequency
2014-01-08-15-28-55	0	Major Frequency
2014-01-08-15-28-57	0	Major Frequency
2014-01-08-15-28-59	86.1328125	Major Frequency
2014-01-08-15-29-01	43.06640625	Major Frequency
2014-01-08-15-29-03	0	Major Frequency
2014-01-08-15-29-05	0	Major Frequency
2014-01-08-15-29-08	0	Major Frequency
2014-01-08-15-29-10	0	Major Frequency
2014-01-08-15-29-12	43.06640625	Major Frequency
2014-01-08-15-29-14	86.1328125	Major Frequency
2014-01-08-15-29-16	0	Major Frequency
2014-01-08-15-29-18	0	Major Frequency
2014-01-08-15-29-20	0	Major Frequency
2014-01-08-15-29-22	86.1328125	Major Frequency
2014-01-08-15-29-24	43.06640625	Major Frequency
2014-01-08-15-29-27	0	Major Frequency
2014-01-08-15-29-29	43.06640625	Major Frequency
2014-01-08-15-29-31	0	Major Frequency
2014-01-08-15-29-33	0	Major Frequency
2014-01-08-15-29-35	0	Major Frequency
2014-01-08-15-29-37	0	Major Frequency
2014-01-08-15-29-39	0	Major Frequency
2014-01-08-15-29-41	0	Major Frequency
2014-01-08-15-29-43	0	Major Frequency
2014-01-08-15-29-45	0	Major Frequency
2014-01-08-15-29-48	0	Major Frequency
2014-01-08-15-29-50	129.19921875	Major Frequency
2014-01-08-15-29-52	0	Major Frequency
2014-01-08-15-29-54	0	Major Frequency
2014-01-08-15-29-56	0	Major Frequency
2014-01-08-15-29-58	0	Major Frequency
2014-01-08-15-30-00	0	Major Frequency
2014-01-08-15-30-02	0	Major Frequency
2014-01-08-15-30-04	0	Major Frequency
2014-01-08-15-30-07	0	Major Frequency
2014-01-08-15-30-09	0	Major Frequency
2014-01-08-15-30-11	43.06640625	Major Frequency
2014-01-08-15-30-13	86.1328125	Major Frequency
2014-01-08-15-30-15	0	Major Frequency
2014-01-08-15-30-17	86.1328125	Major Frequency
2014-01-08-15-30-19	0	Major Frequency
2014-01-08-15-30-21	0	Major Frequency
2014-01-08-15-30-23	43.06640625	Major Frequency
2014-01-08-15-30-25	215.33203125	Major Frequency
2014-01-08-15-30-28	86.1328125	Major Frequency
2014-01-08-15-30-30	0	Major Frequency
2014-01-08-15-30-32	645.99609375	Major Frequency
2014-01-08-15-30-34	86.1328125	Major Frequency
2014-01-08-15-30-36	86.1328125	Major Frequency
2014-01-08-15-30-38	86.1328125	Major Frequency
2014-01-08-15-30-40	43.06640625	Major Frequency
2014-01-08-15-30-42	0	Major Frequency
2014-01-08-15-30-44	43.06640625	Major Frequency
2014-01-08-15-30-46	0	Major Frequency
2014-01-08-15-30-49	86.1328125	Major Frequency
2014-01-08-15-30-51	0	Major Frequency
2014-01-08-15-30-53	86.1328125	Major Frequency
2014-01-08-15-30-55	301.46484375	Major Frequency
2014-01-08-15-30-57	0	Major Frequency
2014-01-08-15-30-59	43.06640625	Major Frequency
2014-01-08-15-31-01	0	Major Frequency
